,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;,Turnover ;  New South Wales ;  Total (Industry) ;,Turnover ;  Victoria ;  Total (Industry) ;,Turnover ;  Queensland ;  Total (Industry) ;,Turnover ;  South Australia ;  Total (Industry) ;,Turnover ;  Western Australia ;  Total (Industry) ;,Turnover ;  Tasmania ;  Total (Industry) ;,Turnover ;  Northern Territory ;  Total (Industry) ;,Turnover ;  Australian Capital Territory ;  Total (Industry) ;,Turnover ;  Total (State) ;  Total (Industry) ;
Unit,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions,$ Millions
Series Type,Original,Original,Original,Original,Original,Original,Original,Original,Original,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Seasonally Adjusted,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend,Trend
Aug-2017,8090.2,6389.1,5152.2,1639.2,2777.9,490.5,282.4,453.8,25275.4,8359.2,6592.8,5166.5,1681.6,2840.8,511.5,261.2,475.3,25888.9,8390.1,6610.1,5178.7,1703.5,2832.4,517.0,260.6,476.6,25968.9
Sep-2017,8205.9,6368.9,5140.0,1656.7,2756.4,492.7,265.6,462.5,25348.7,8403.2,6593.1,5183.4,1700.2,2811.0,516.4,258.1,474.2,25939.7,8399.8,6628.1,5177.0,1709.6,2825.1,517.4,259.9,475.7,25992.7
Oct-2017,8556.0,6727.1,5233.4,1758.0,2856.3,518.4,264.0,483.9,26397.1,8400.7,6648.3,5159.6,1726.2,2806.4,518.3,259.1,476.8,25995.3,8418.6,6658.4,5181.5,1719.6,2820.1,518.6,259.2,475.5,26051.5
Nov-2017,9036.0,7150.7,5395.8,1833.7,2979.0,549.0,260.3,502.8,27707.3,8477.0,6760.9,5189.2,1745.0,2836.2,526.9,260.4,480.2,26275.9,8446.5,6699.1,5192.4,1731.0,2818.5,520.4,259.0,476.4,26143.3
Dec-2017,10960.7,8757.0,6544.7,2216.5,3594.9,668.3,285.8,611.1,33639.0,8558.6,6784.5,5230.1,1756.4,2836.5,524.2,259.5,479.6,26429.5,8480.3,6742.6,5204.8,1740.3,2820.1,522.5,259.6,478.2,26248.4
Jan-2018,8365.6,6602.5,5220.9,1705.1,2777.9,527.5,231.7,464.7,25896.0,8499.9,6766.5,5272.2,1739.3,2831.4,522.8,260.4,480.2,26372.7,8514.2,6782.1,5215.1,1745.6,2824.5,524.7,261.2,481.0,26348.6
Feb-2018,7527.1,6039.6,4561.3,1540.3,2493.1,483.9,222.9,432.6,23300.7,8559.5,6832.9,5219.1,1746.7,2817.5,528.1,262.8,482.1,26448.9,8543.8,6814.2,5219.4,1746.7,2829.1,527.0,263.4,484.6,26428.3
Mar-2018,8436.2,6821.8,5107.1,1762.2,2813.9,535.2,251.4,490.2,26218.0,8539.7,6834.0,5200.7,1747.7,2823.7,526.3,263.8,489.6,26425.6,8569.6,6839.0,5220.0,1745.7,2831.3,529.7,265.6,488.1,26489.2
Apr-2018,8041.3,6517.3,4822.3,1624.3,2655.0,500.6,253.3,469.3,24883.3,8591.1,6863.4,5195.0,1735.1,2841.4,532.1,270.0,492.4,26520.5,8595.1,6861.4,5220.8,1745.2,2830.4,532.9,267.1,491.1,26544.2
May-2018,8438.3,6698.5,5062.0,1722.7,2758.0,522.1,270.4,482.0,25954.1,8628.1,6861.7,5237.8,1750.6,2833.6,539.2,269.5,493.6,26614.0,8620.6,6889.5,5228.3,1746.7,2827.5,536.6,267.6,493.1,26609.8
Jun-2018,8354.4,6704.9,5065.5,1687.2,2737.0,514.1,278.7,485.5,25827.2,8642.9,6943.5,5235.5,1752.1,2836.5,541.8,267.2,497.7,26717.1,8640.6,6924.7,5246.4,1750.0,2823.5,540.0,266.6,494.2,26686.0
Jul-2018,8304.6,6657.5,5273.3,1696.2,2715.8,522.8,289.6,475.8,25935.6,8641.9,6942.0,5288.4,1748.3,2797.9,539.7,264.0,493.0,26715.3,8650.5,6965.2,5274.6,1754.0,2820.3,542.6,264.6,495.0,26766.8
Aug-2018,8474.8,6793.4,5300.0,1719.0,2774.0,525.0,282.8,471.4,26340.6,8707.9,7001.5,5304.0,1760.4,2821.7,545.4,261.3,492.7,26894.9,8651.0,7005.0,5306.1,1757.7,2819.6,544.3,261.9,495.9,26841.4
Sep-2018,8387.7,6757.1,5226.6,1703.0,2732.1,516.1,262.3,478.9,26063.9,8660.1,7054.6,5315.2,1763.2,2817.3,546.4,258.1,495.3,26910.2,8652.8,7039.7,5335.1,1760.9,2823.9,545.2,259.1,497.2,26914.0
Oct-2018,8747.3,7169.5,5470.5,1802.2,2898.2,548.2,264.2,507.6,27407.7,8612.8,7116.8,5401.4,1772.6,2835.3,547.4,258.0,501.6,27046.0,8664.0,7066.8,5360.2,1763.6,2833.5,545.7,257.0,498.9,26989.7
Nov-2018,9245.0,7511.7,5630.1,1861.6,2998.7,571.6,256.8,533.6,28609.2,8592.7,7037.6,5361.3,1752.3,2838.0,541.2,254.5,503.3,26880.9,8686.8,7084.8,5381.7,1766.1,2845.3,545.9,255.8,500.9,27067.6
Dec-2018,11085.5,9118.5,6729.8,2211.4,3612.4,690.0,280.5,633.2,34361.4,8760.0,7107.1,5418.2,1771.9,2870.5,547.3,256.6,503.2,27234.7,8712.7,7095.0,5401.1,1769.6,2855.1,545.9,255.5,502.8,27137.8
Jan-2019,8651.0,6926.8,5358.7,1746.2,2805.1,553.7,225.3,481.3,26748.0,8793.6,7086.8,5401.4,1774.3,2859.2,548.1,252.7,499.6,27215.8,8731.8,7101.7,5419.6,1774.4,2860.1,545.7,255.8,504.6,27193.7
Feb-2019,7717.4,6292.9,4753.2,1570.3,2544.1,497.3,218.2,455.8,24049.2,8775.6,7124.4,5431.7,1780.1,2876.0,544.5,258.0,508.5,27298.7,8736.7,7108.0,5438.6,1780.1,2860.8,545.5,256.5,505.9,27232.0
Mar-2019,8496.4,7035.3,5279.2,1759.9,2795.8,542.6,245.6,505.7,26660.6,8724.0,7135.9,5461.9,1783.8,2853.6,546.0,259.1,508.3,27272.6,8725.8,7118.2,5458.8,1785.3,2860.0,545.6,257.4,506.9,27258.0
Apr-2019,8247.9,6825.2,5191.3,1713.6,2700.6,525.3,244.3,489.0,25937.2,8661.6,7085.0,5491.7,1788.0,2846.4,546.0,257.9,506.6,27183.1,8705.0,7133.2,5479.4,1788.7,2860.2,546.0,258.3,507.6,27278.3
May-2019,8503.7,7014.1,5329.5,1778.2,2792.5,529.1,261.1,500.0,26708.0,8648.2,7163.0,5496.5,1803.3,2861.3,543.7,258.7,510.0,27284.7,8688.3,7152.3,5498.8,1789.6,2864.1,547.0,259.0,508.3,27307.3
Jun-2019,8371.3,6906.9,5298.6,1708.6,2744.0,519.9,267.7,495.0,26311.9,8707.9,7183.8,5518.2,1787.4,2869.7,552.3,259.4,510.9,27389.7,8685.1,7171.6,5515.6,1789.0,2871.9,548.8,259.6,509.1,27350.8
Jul-2019,8349.9,6886.4,5507.2,1725.8,2826.4,534.8,286.3,486.4,26603.4,8695.7,7182.6,5527.4,1778.4,2894.2,551.7,260.0,503.6,27393.5,8698.3,7191.5,5533.2,1788.4,2883.0,552.1,260.3,510.5,27418.4
Aug-2019,8543.1,7047.6,5585.5,1755.0,2858.1,535.3,283.1,499.0,27106.8,8725.5,7230.1,5568.7,1785.8,2895.1,554.9,261.5,514.0,27535.6,8721.7,7210.1,5553.7,1788.7,2896.0,556.7,261.0,512.7,27502.2
Sep-2019,8451.5,6891.4,5423.1,1725.1,2810.6,528.2,262.5,494.3,26586.5,8755.9,7230.8,5542.5,1793.3,2906.3,557.8,259.8,515.0,27561.3,8745.7,7227.0,5579.3,1790.3,2910.0,562.4,261.7,515.5,27591.9
Oct-2019,8930.8,7305.5,5712.6,1832.0,2993.0,575.5,271.8,526.0,28147.1,8757.4,7235.0,5616.6,1792.6,2923.9,573.5,264.5,521.2,27684.6,8763.2,7243.9,5608.3,1793.2,2923.4,568.4,261.9,517.8,27676.4
Nov-2019,9425.0,7717.5,5939.8,1913.5,3105.5,601.7,266.5,557.5,29527.1,8757.8,7221.0,5637.9,1800.5,2921.8,569.5,262.6,518.2,27689.2,8773.8,7263.0,5637.7,1796.7,2935.2,573.9,261.8,519.3,27750.8
Dec-2019,11160.1,9382.1,7046.8,2242.0,3699.2,741.0,286.4,652.6,35210.2,8840.0,7326.8,5681.8,1798.0,2958.8,587.0,261.9,523.5,27977.9,8780.8,7282.2,5663.7,1799.2,2942.9,577.9,261.7,519.8,27813.9
Jan-2020,8629.9,7121.7,5630.7,1766.3,2867.0,585.4,232.1,488.2,27321.3,8794.7,7295.2,5683.2,1799.3,2915.7,578.9,259.7,506.6,27833.3,8789.5,7301.2,5681.8,1799.3,2945.6,580.3,261.7,519.5,27872.3
Feb-2020,7947.4,6699.2,5174.5,1645.2,2713.9,545.2,228.3,482.4,25436.2,8737.9,7320.6,5689.5,1799.5,2951.7,578.5,261.2,516.5,27855.5,8805.3,7319.8,5689.1,1797.8,2944.8,581.1,262.1,519.4,27933.8
Mar-2020,9058.9,7655.9,5943.4,1924.2,3138.6,620.8,271.2,554.9,29167.9,9310.1,7772.5,6182.5,1961.7,3224.6,626.2,288.8,564.4,29930.8,,,,,,,,,
Apr-2020,7350.4,5950.8,4936.6,1607.0,2576.7,495.3,252.8,459.0,23628.7,7727.1,6206.6,5215.0,1680.8,2710.7,517.2,266.5,482.2,24806.1,,,,,,,,,
May-2020,8789.4,7058.3,5882.4,1914.8,3139.7,587.0,290.2,533.0,28194.7,8923.2,7203.1,6051.0,1943.6,3225.9,605.7,287.3,538.2,28778.0,,,,,,,,,
Jun-2020,8968.2,7241.9,5907.6,1887.2,3151.6,595.2,286.4,538.4,28576.6,9270.7,7499.1,6147.3,1964.6,3287.4,626.4,277.6,557.0,29630.1,,,,,,,,,
Jul-2020,9538.6,7133.0,6470.8,1986.0,3372.8,639.4,313.8,566.4,30020.7,9877.6,7406.3,6468.8,2033.5,3441.9,656.8,282.9,586.4,30754.2,,,,,,,,,
Aug-2020,9280.5,6242.5,6298.1,1934.5,3323.5,619.9,311.2,569.2,28579.5,9667.4,6494.8,6371.4,2000.6,3405.3,652.0,292.5,590.9,29475.0,,,,,,,,,
Sep-2020,9338.1,6217.4,6173.1,1893.3,3257.6,609.2,304.6,556.4,28349.8,9577.0,6458.5,6256.4,1950.9,3346.9,639.2,298.0,575.3,29102.0,,,,,,,,,
Oct-2020,9915.0,6930.6,6433.7,2023.3,3492.9,640.2,309.8,594.4,30340.0,9699.6,6828.4,6295.7,1975.2,3384.7,635.3,300.0,582.3,29701.2,,,,,,,,,
Nov-2020,10451.4,8732.0,6731.0,2038.3,3564.1,675.3,305.2,622.0,33119.3,9758.8,8195.6,6445.1,1938.9,3382.7,640.9,304.2,585.6,31251.8,,,,,,,,,
Dec-2020,12179.4,10032.8,8053.9,2478.0,4280.2,802.3,341.0,735.7,38903.2,9667.9,7838.7,6497.3,1980.5,3420.8,636.5,308.8,592.3,30942.7,,,,,,,,,
Jan-2021,9388.1,7631.5,6291.9,1927.0,3380.7,639.1,276.8,573.4,30108.5,9626.3,7836.4,6358.8,1968.6,3447.4,636.2,310.0,590.1,30773.7,,,,,,,,,
Feb-2021,8481.1,6707.4,5594.6,1732.5,2893.5,581.7,256.2,530.1,26777.2,9650.5,7589.1,6384.6,1964.8,3272.0,638.7,305.1,592.0,30396.8,,,,,,,,,
Mar-2021,9475.2,7807.8,6202.0,1945.6,3394.6,649.8,288.3,572.7,30336.0,9582.4,7791.9,6338.9,1947.5,3434.7,642.2,304.4,576.9,30618.9,,,,,,,,,
Apr-2021,9259.1,7545.6,5960.2,1853.1,3190.1,612.0,287.6,559.3,29266.9,9791.6,7917.0,6359.9,1957.3,3390.5,644.7,303.8,588.0,30952.8,,,,,,,,,
May-2021,9615.3,7647.2,6206.0,1911.0,3327.1,628.1,299.3,582.8,30216.8,9814.3,7819.7,6421.1,1951.8,3424.6,649.6,300.3,591.9,30973.3,,,,,,,,,
Jun-2021,9347.1,7265.4,6164.1,1890.8,3275.9,611.0,304.2,575.3,29433.8,9672.4,7547.2,6401.6,1968.5,3417.0,645.4,293.0,595.5,30540.6,,,,,,,,,
Jul-2021,8558.2,7387.5,6384.1,1867.7,3407.8,643.8,333.0,590.6,29172.7,8840.3,7638.8,6372.2,1903.0,3465.7,661.8,299.9,605.3,29787.1,,,,,,,,,
Aug-2021,8217.6,7129.3,6221.6,1957.4,3430.4,624.5,319.7,468.1,28368.7,8492.5,7425.0,6300.5,2016.9,3529.0,654.9,300.5,484.3,29203.6,,,,,,,,,
Sep-2021,8541.1,7032.1,6499.9,1981.3,3497.5,632.8,307.0,409.9,28901.7,8753.1,7322.1,6598.3,2046.8,3586.0,662.2,301.1,423.7,29693.5,,,,,,,,,
Oct-2021,10091.4,7586.0,6765.5,2068.7,3694.3,659.8,313.8,529.8,31709.1,9920.5,7532.8,6633.7,2033.8,3592.0,659.1,304.2,517.7,31193.7,,,,,,,,,
Nov-2021,11049.8,9471.7,6975.5,2175.5,3842.9,703.6,298.6,653.6,35171.1,10212.2,8794.8,6629.4,2046.1,3619.3,661.4,295.4,609.0,32867.5,,,,,,,,,
Dec-2021,12802.8,10732.6,8350.2,2524.2,4536.6,829.7,341.3,745.9,40863.3,10190.9,8394.8,6749.9,2023.4,3630.1,660.3,307.5,603.8,32560.7,,,,,,,,,
Jan-2022,9863.4,8226.2,6611.4,2004.0,3642.8,656.9,276.1,581.3,31862.0,10213.9,8495.4,6739.1,2064.1,3732.2,655.4,313.7,603.7,32817.5,,,,,,,,,
Feb-2022,9203.1,7575.4,5964.2,1866.8,3196.8,602.6,251.8,548.1,29208.8,10457.4,8581.2,6806.2,2114.7,3619.8,660.7,300.7,610.3,33151.2,,,,,,,,,
Mar-2022,10340.2,8507.8,6765.4,2071.8,3590.8,661.7,287.4,605.9,32830.9,10577.3,8609.7,7008.9,2106.4,3676.7,664.8,304.3,616.1,33564.2,,,,,,,,,
Apr-2022,10176.0,8418.8,6773.0,2053.1,3564.1,654.0,292.0,604.0,32535.1,10618.3,8698.8,7093.9,2124.2,3733.4,679.6,306.0,623.7,33878.0,,,,,,,,,
May-2022,10554.4,8571.2,6846.3,2116.3,3623.2,663.6,306.2,605.9,33287.1,10708.2,8733.6,7088.4,2152.5,3741.9,683.6,307.4,617.0,34032.5,,,,,,,,,
Jun-2022,10414.3,8483.0,6873.5,2078.5,3615.3,652.3,319.6,599.0,33035.5,10804.2,8827.3,7160.5,2170.1,3766.6,689.4,309.4,625.0,34352.6,,,,,,,,,
Jul-2022,10536.4,8572.7,7169.7,2144.7,3741.8,670.4,347.5,616.7,33800.0,10944.3,8902.8,7163.5,2197.0,3817.6,694.4,312.0,631.3,34662.9,10897.7,8883.6,7174.9,2192.7,3802.2,695.3,311.6,632.3,34607.1
Aug-2022,10635.3,8580.0,7135.8,2155.7,3745.1,671.3,335.8,618.6,33877.5,10985.6,8926.6,7191.0,2216.6,3823.1,702.0,313.3,639.4,34797.6,10968.0,8937.6,7207.8,2210.0,3831.7,698.9,313.3,637.3,34811.0
Sep-2022,10826.4,8673.2,7184.6,2177.5,3785.0,676.5,324.6,629.0,34276.8,10995.2,8967.4,7242.4,2223.9,3857.9,700.2,315.4,645.1,34947.6,11026.4,8981.1,7232.2,2224.2,3856.4,700.8,314.5,642.1,34977.7
Oct-2022,11184.3,9049.7,7347.3,2255.5,3982.7,700.5,320.0,656.2,35496.2,11068.3,9054.5,7243.3,2236.1,3873.8,702.1,314.5,648.9,35141.5,11074.2,9014.3,7242.4,2235.0,3876.0,701.8,315.2,646.7,35105.5
Nov-2022,12050.3,9755.0,7711.9,2385.3,4192.5,750.4,324.1,697.3,37866.8,11121.9,9062.7,7288.5,2240.1,3934.2,706.3,316.9,648.6,35319.2,11110.4,9039.6,7238.4,2244.1,3892.0,702.6,315.5,650.8,35193.5
Dec-2022,13947.3,11481.6,8966.9,2811.9,4819.2,867.8,348.8,802.8,44046.3,11117.8,8971.0,7220.3,2248.6,3859.1,693.2,315.0,647.3,35072.1,11138.6,9060.8,7224.0,2253.0,3905.4,703.1,315.7,654.9,35255.6
Jan-2023,10830.3,8848.9,7034.6,2202.7,3800.9,709.5,278.0,633.7,34338.4,11186.1,9120.1,7187.8,2266.1,3919.3,704.9,315.9,662.3,35362.4,11155.3,9078.5,7206.0,2262.2,3918.2,703.3,316.2,658.9,35298.5
Feb-2023,9822.6,8035.6,6256.8,2002.3,3478.1,645.4,264.4,599.3,31104.6,11143.5,9097.4,7148.5,2266.9,3941.7,706.9,316.7,666.4,35288.0,11156.3,9090.9,7190.6,2271.3,3930.5,703.1,317.1,662.5,35322.3
Mar-2023,10944.5,9004.2,6960.9,2247.3,3853.2,707.4,301.0,656.9,34675.4,11177.8,9102.1,7192.1,2282.5,3934.5,707.1,317.4,666.6,35380.1,11138.6,9096.7,7183.5,2278.9,3941.7,702.2,318.4,665.3,35325.2
Apr-2023,10517.9,8723.0,6819.0,2186.8,3752.2,665.6,300.6,637.5,33602.6,11084.6,9107.4,7197.2,2284.7,3962.8,699.3,319.2,664.8,35320.0,11111.6,9100.0,7185.0,2283.8,3951.2,700.8,319.9,667.1,35319.4
May-2023,10996.4,8963.7,6993.4,2258.1,3854.7,674.7,323.1,660.2,34724.2,11139.4,9119.6,7218.0,2292.8,3960.4,692.9,323.1,671.1,35417.2,11086.1,9101.3,7190.6,2285.6,3956.9,699.3,321.1,667.9,35308.7
Jun-2023,10677.2,8776.2,6916.0,2210.8,3816.7,668.6,336.6,640.3,34042.4,10981.4,9054.6,7176.0,2284.6,3961.3,701.6,323.5,662.7,35145.8,11074.4,9107.8,7201.4,2286.6,3962.5,698.6,322.1,668.6,35322.1
Jul-2023,10595.3,8728.4,7179.4,2214.8,3869.3,672.0,354.2,649.7,34263.0,11081.4,9116.0,7226.2,2287.8,3959.2,699.5,322.6,670.9,35363.5,11080.2,9122.4,7217.3,2288.6,3969.9,699.2,322.7,669.8,35370.1
Aug-2023,10757.9,8816.8,7181.6,2224.3,3894.2,667.1,346.2,651.7,34539.7,11062.2,9139.8,7225.3,2277.7,3976.4,698.5,321.5,672.2,35373.7,11098.6,9141.8,7240.6,2291.9,3980.1,701.8,323.2,671.3,35449.3
Sep-2023,10997.8,8907.6,7223.7,2253.8,3918.9,681.3,334.6,664.2,34981.9,11202.3,9201.5,7244.8,2300.7,3975.0,706.8,323.1,672.6,35626.8,11122.2,9159.9,7269.8,2296.8,3989.8,705.7,323.5,672.4,35540.1
Oct-2023,11270.2,9156.9,7386.3,2321.9,4098.6,709.6,328.2,675.3,35946.9,11117.5,9142.4,7290.9,2296.8,4002.7,709.7,322.5,670.0,35552.2,11141.5,9175.3,7300.8,2302.5,3996.9,710.1,324.0,672.6,35623.7
Nov-2023,12155.0,9981.7,7840.2,2490.1,4351.6,762.3,336.9,731.3,38649.0,11220.2,9281.8,7417.1,2341.9,4075.3,715.4,330.9,684.2,36066.8,11149.6,9184.7,7326.1,2307.6,4000.5,714.1,324.7,672.2,35679.6
Dec-2023,13784.5,11534.7,9040.7,2833.5,4901.0,890.6,356.1,817.5,44158.6,11073.6,9075.1,7299.9,2281.4,3945.1,716.0,321.6,661.2,35373.9,11147.3,9187.3,7342.0,2311.4,4001.5,717.1,325.7,671.4,35703.7
Jan-2024,10787.7,8919.6,7227.3,2254.0,3884.7,731.3,288.0,642.4,34734.9,11136.0,9190.1,7365.2,2318.5,3995.9,723.9,325.6,671.0,35726.1,11140.7,9187.9,7349.4,2313.9,4004.1,719.2,326.9,670.9,35713.0
Feb-2024,10249.7,8486.6,6630.8,2128.0,3662.0,681.8,283.2,623.1,32745.3,11192.7,9265.1,7333.8,2321.1,4011.9,719.8,328.7,671.5,35844.7,11139.3,9192.7,7353.7,2315.8,4013.2,720.1,328.1,671.4,35734.3
Mar-2024,10873.5,9101.1,7185.7,2292.9,3975.6,721.0,313.8,673.1,35136.7,11087.8,9194.7,7363.0,2311.1,4033.0,717.7,331.3,673.5,35712.1,11147.6,9207.0,7362.0,2317.7,4031.8,720.3,329.6,672.8,35788.8
Apr-2024,10639.8,8820.1,6907.1,2218.8,3800.2,682.8,311.0,641.2,34020.9,11180.9,9171.0,7365.3,2325.1,4045.9,718.6,331.2,673.5,35811.4,11165.7,9231.7,7380.5,2320.2,4058.4,720.4,331.4,674.9,35883.3
May-2024,11090.6,9144.7,7206.6,2298.7,4004.9,707.1,335.3,667.6,35455.4,11181.1,9267.3,7404.5,2321.3,4095.9,722.6,332.3,677.4,36002.2,11189.4,9264.5,7408.5,2322.8,4088.1,720.6,333.4,677.2,36004.6
Jun-2024,10777.4,8937.4,7163.6,2229.0,3973.2,678.1,346.4,661.2,34766.2,11228.9,9316.7,7444.0,2328.0,4128.5,723.0,335.1,682.8,36187.1,11214.5,9300.7,7438.9,2324.5,4114.9,721.1,335.3,679.1,36129.1
Jul-2024,10772.9,8957.7,7424.2,2253.4,4040.8,693.2,372.7,654.4,35169.4,11217.1,9331.5,7465.9,2321.0,4138.6,718.3,337.2,677.6,36207.3,11239.8,9337.7,7469.3,2325.4,4139.1,721.6,337.2,680.7,36250.9
Aug-2024,11087.8,9183.9,7528.7,2289.1,4106.1,695.5,368.7,670.4,35930.3,11300.3,9415.7,7525.5,2328.4,4157.1,724.0,340.4,683.1,36474.7,11265.5,9375.5,7502.8,2326.9,4161.9,722.4,339.0,682.4,36376.4
